《灰烬钟塔》Tilemap 精细蓝图坐标清单
说明：坐标为生成器设计坐标，当前 Scale = 1。
流程原则：进入房间 -> 普通关卡挑战 -> 获得能力 -> 立即使用能力 -> 打开出口/返回主路线。

[Room] Area_01_荒凉小径 | position=(-80, 0) | size=(48, 18) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_04_钟塔大厅_右墙 | position=(63, 0) | size=(1, 42) | 房间右边界
[Walls] Area_04_钟塔大厅_顶墙 | position=(16, 41) | size=(48, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(12, -2) | size=(32, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(16, 12) | size=(11, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(45, 12) | size=(11, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(31, 19) | size=(10, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(23, 7) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(40, 7) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(32, 14) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(22, 23) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(42, 23) | size=(6, 2) | 可行走地面或跳台占位
[AshenPlatforms] AshPlatform | position=(32, 27) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(38, 33) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(26, 33) | size=(5, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(32, 39) | size=(5, 1) | 灰烬态才出现的路线平台
[Room] Area_05_齿轮廊道_冲刺 | position=(-28, 28) | size=(52, 28) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_05_齿轮廊道_冲刺_左墙 | position=(-28, 28) | size=(1, 28) | 房间左边界
[Walls] Area_05_齿轮廊道_冲刺_右墙 | position=(23, 28) | size=(1, 28) | 房间右边界
[Walls] Area_05_齿轮廊道_冲刺_顶墙 | position=(-28, 55) | size=(52, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(-6, 25) | size=(18, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-19, 32) | size=(9, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-33, 37) | size=(12, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(5, 39) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-2, 29) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-25, 42) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-10, 45) | size=(5, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-2, 42) | size=(8, 2) | 可行走地面或跳台占位
[Mechanisms/Hazards] Hazard | position=(-8, 28) | size=(7, 1) | 危险区域或机关占位
[Room] Area_06_熔灰工坊_火魔法 | position=(48, 26) | size=(48, 32) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_06_熔灰工坊_火魔法_左墙 | position=(48, 26) | size=(1, 32) | 房间左边界
[Walls] Area_06_熔灰工坊_火魔法_右墙 | position=(95, 26) | size=(1, 32) | 房间右边界
[Walls] Area_06_熔灰工坊_火魔法_顶墙 | position=(48, 57) | size=(48, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(52, 24) | size=(28, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(74, 34) | size=(14, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(56, 32) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(66, 40) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(86, 39) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(91, 45) | size=(5, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(93, 31) | size=(7, 2) | 可行走地面或跳台占位
[Mechanisms/Hazards] Hazard | position=(62, 27) | size=(13, 2) | 危险区域或机关占位
[Room] Area_07_静霜钟室_冰魔法 | position=(80, 50) | size=(44, 34) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_07_静霜钟室_冰魔法_左墙 | position=(80, 50) | size=(1, 34) | 房间左边界
[Walls] Area_07_静霜钟室_冰魔法_右墙 | position=(123, 50) | size=(1, 34) | 房间右边界
[Walls] Area_07_静霜钟室_冰魔法_顶墙 | position=(80, 83) | size=(44, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(83, 47) | size=(21, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(103, 56) | size=(14, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(94, 63) | size=(9, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(86, 54) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(97, 60) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(110, 68) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(116, 62) | size=(5, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(118, 54) | size=(6, 2) | 可行走地面或跳台占位
[Mechanisms/Hazards] Hazard | position=(100, 51) | size=(12, 1) | 危险区域或机关占位
[Room] Area_08_古老纪念堂_旧日长廊 | position=(28, 72) | size=(66, 30) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_08_古老纪念堂_旧日长廊_左墙 | position=(28, 72) | size=(1, 30) | 房间左边界
[Walls] Area_08_古老纪念堂_旧日长廊_右墙 | position=(93, 72) | size=(1, 30) | 房间右边界
[Walls] Area_08_古老纪念堂_旧日长廊_顶墙 | position=(28, 101) | size=(66, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(34, 69) | size=(50, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(55, 75) | size=(15, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(38, 75) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(76, 75) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(55, 84) | size=(20, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(84, 78) | size=(8, 2) | 可行走地面或跳台占位
[Room] Area_09_主塔登顶路线 | position=(18, 28) | size=(32, 88) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_09_主塔登顶路线_左墙 | position=(18, 28) | size=(1, 88) | 房间左边界
[Walls] Area_09_主塔登顶路线_右墙 | position=(49, 28) | size=(1, 88) | 房间右边界
[Walls] Area_09_主塔登顶路线_顶墙 | position=(18, 115) | size=(32, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(30, 20) | size=(10, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(25, 68) | size=(10, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(30, 102) | size=(14, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(20, 37) | size=(5, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(42, 46) | size=(5, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(20, 80) | size=(5, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(42, 91) | size=(5, 2) | 可行走地面或跳台占位
[AshenPlatforms] AshPlatform | position=(36, 31) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(25, 40) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(38, 49) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(24, 58) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(36, 72) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(25, 82) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(38, 92) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(31, 100) | size=(6, 1) | 灰烬态才出现的路线平台
[Room] Area_10_塔顶钟室_Boss | position=(4, 112) | size=(60, 32) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_10_塔顶钟室_Boss_左墙 | position=(4, 112) | size=(1, 32) | 房间左边界
[Walls] Area_10_塔顶钟室_Boss_右墙 | position=(63, 112) | size=(1, 32) | 房间右边界
[Walls] Area_10_塔顶钟室_Boss_顶墙 | position=(4, 143) | size=(60, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(12, 109) | size=(42, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(15, 119) | size=(8, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(45, 119) | size=(8, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(30, 118) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(21, 126) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(41, 126) | size=(6, 2) | 可行走地面或跳台占位
[AshenPlatforms] AshPlatform | position=(25, 116) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(38, 116) | size=(6, 1) | 灰烬态才出现的路线平台
[TriggerPoints] Start_PlayerSpawn | position=(-90, 1) | size=(1, 1) | 玩家起点
[AbilityRoomFlow]
投掷宝剑：钟塔前庭入口 -> 普通平台和敌人 -> 中后段获得投掷宝剑 -> 远程机关教学 -> 塔门出口。
冲刺：齿轮廊道入口 -> 齿轮平台和敌人 -> 中后段获得冲刺 -> 宽裂隙教学 -> 走廊出口。
火之魔法：熔灰工坊入口 -> 熔灰平台和危险地形 -> 中后段获得火魔法 -> 火炬机关教学 -> 工坊出口。
冰之魔法：静霜钟室入口 -> 冰霜平台和敌人 -> 中后段获得冰魔法 -> 冻结水面/暂停机关教学 -> 钟室出口。
旧日赐福：旧日长廊入口 -> 多个石碑交互 -> 中央赐福石碑 -> 主塔登顶入口。

[SavePoints] SavePoint_篝火_荒凉小径 | position=(-70, 1) | size=(1.5, 2) | 篝火/存档点占位
[SavePoints] SavePoint_篝火_钟塔大厅 | position=(25, 1) | size=(1.5, 2) | 篝火/存档点占位
[SavePoints] SavePoint_篝火_古老纪念堂入口 | position=(35, 72) | size=(1.5, 2) | 篝火/存档点占位
[SavePoints] SavePoint_篝火_Boss前 | position=(10, 112) | size=(1.5, 2) | 篝火/存档点占位
[AbilityPoints] Ability_灰烬态 | position=(-49, 2) | size=(1.8, 1.8) | 能力点位于房间中后段，前置普通挑战之后获取
[AbilityPoints] Ability_投掷宝剑 | position=(6, 7) | size=(1.8, 1.8) | 能力点位于房间中后段，前置普通挑战之后获取
[AbilityPoints] Ability_冲刺 | position=(-30, 41) | size=(1.8, 1.8) | 能力点位于房间中后段，前置普通挑战之后获取
[AbilityPoints] Ability_火之魔法 | position=(84, 42) | size=(1.8, 1.8) | 能力点位于房间中后段，前置普通挑战之后获取
[AbilityPoints] Ability_冰之魔法 | position=(108, 59) | size=(1.8, 1.8) | 能力点位于房间中后段，前置普通挑战之后获取
[AbilityPoints] Ability_旧日赐福_无限灰烬态 | position=(56, 78) | size=(1.8, 1.8) | 能力点位于房间中后段，前置普通挑战之后获取
[Mechanisms/Teaching] Mechanism_投掷宝剑_远程机关 | position=(24, 14) | size=(2.2, 2.2) | 教学段：用投掷宝剑命中远程机关
[Gates/Exits] Gate_需要投掷宝剑_塔门出口 | position=(29, 5) | size=(2.5, 7) | 能力门：投掷宝剑打开塔门，进入钟塔大厅
[Mechanisms/Teaching] Mechanism_冲刺_宽裂隙 | position=(-8, 36) | size=(8, 2) | 教学段：获得冲刺后跨越宽裂隙
[Gates/Exits] Gate_需要冲刺_齿轮廊道出口 | position=(3, 43) | size=(3, 6) | 能力门：冲刺通过齿轮廊道出口
[Mechanisms/Teaching] Mechanism_火魔法_火炬机关 | position=(93, 43) | size=(2.2, 3) | 教学段：用火之魔法点燃机关
[Gates/Exits] Gate_需要火魔法_熔灰工坊出口 | position=(96, 34) | size=(3, 7) | 能力门：火魔法开启工坊出口
[Mechanisms/Teaching] Mechanism_冰魔法_冻结水面 | position=(105, 52) | size=(12, 2) | 教学段：用冰之魔法冻结水面或暂停机关
[Gates/Exits] Gate_需要冰魔法_静霜钟室出口 | position=(120, 58) | size=(3, 8) | 能力门：冰魔法通过静霜机关
[Mechanisms/Teaching] Mechanism_旧日赐福_中央石碑 | position=(56, 80) | size=(5, 6) | 教学段：与中央石碑交互获得旧日赐福
[Gates/Exits] Gate_需要旧日赐福_主塔登顶入口 | position=(86, 79) | size=(4, 8) | 能力门：旧日赐福后进入主塔登顶路线
[Portals/Exits] Portal_钟塔前庭_进入钟塔大厅 | position=(29, 5) | size=(2.4, 4.2) | 目标：钟塔大厅
[Portals/Exits] Portal_钟塔大厅_返回钟塔前庭 | position=(18, 2) | size=(2.4, 4.2) | 目标：钟塔前庭
[Portals/Exits] Portal_古老纪念堂_回到钟塔大厅 | position=(84, 73) | size=(2.4, 4.2) | 目标：钟塔大厅
[Portals/Exits] Portal_塔顶钟室_结局出口 | position=(56, 112) | size=(2.4, 4.2) | 目标：结束 CG
[Enemies] Enemy_荒凉小径_01 | position=(-84, 1) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_荒凉小径_02 | position=(-73, 10) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_荒凉小径_03 | position=(-63, 6) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_荒凉小径_04 | position=(-55, 8) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_钟塔前庭_01 | position=(-10, 1) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_钟塔前庭_02 | position=(2, 2) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_钟塔前庭_03 | position=(10, 6) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_钟塔前庭_04 | position=(18, 9) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_齿轮廊道_01 | position=(3, 27) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_齿轮廊道_02 | position=(-12, 34) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_齿轮廊道_03 | position=(-29, 40) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_齿轮廊道_04 | position=(-2, 32) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_熔灰工坊_01 | position=(57, 28) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_熔灰工坊_02 | position=(67, 42) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_熔灰工坊_03 | position=(83, 41) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_熔灰工坊_04 | position=(77, 28) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_静霜钟室_01 | position=(87, 50) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_静霜钟室_02 | position=(98, 62) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_静霜钟室_03 | position=(111, 70) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_静霜钟室_04 | position=(105, 50) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_主塔登顶_01 | position=(21, 39) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_主塔登顶_02 | position=(39, 48) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_主塔登顶_03 | position=(25, 70) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_主塔登顶_04 | position=(40, 94) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_Boss前残响_01 | position=(20, 112) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_Boss前残响_02 | position=(42, 112) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Enemy_Boss前残响_03 | position=(30, 120) | size=(1.6, 1.8) | 普通敌人占位
[Enemies] Boss_塔顶守护者 | position=(31, 113) | size=(3, 3) | 精英/Boss敌人占位
[TriggerPoints] Narrative_开场落地点 | position=(-90, 2) | size=(6, 4) | 进入范围自动触发
[TriggerPoints] Narrative_断桥前 | position=(-46, 3) | size=(6, 5) | 需要按 E 交互触发
[TriggerPoints] Narrative_钟塔大厅 | position=(24, 3) | size=(8, 5) | 进入范围自动触发
[TriggerPoints] Narrative_中央石碑 | position=(56, 80) | size=(8, 5) | 需要按 E 交互触发
[TriggerPoints] Narrative_Boss前 | position=(12, 113) | size=(7, 5) | 需要按 E 交互触发
